id,source_id,name,company,stage_id,technology,facility_type,city,state,country_code,latitude,longitude,status,measure_type,measure_value,measure_unit,measure_period,source_url,limitation
sunspark-usa-solarmax-technology-riverside-california,doe_pv_mfg_map_20260615,Sunspark USA/SolarMax Technology,Sunspark USA/SolarMax Technology,modules,c-si,Modules: c-Si,Riverside,California,USA,33.973759,-117.369818,active,nameplate-capacity,0.25,GWdc/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
suntegra-binghamton-new-york,doe_pv_mfg_map_20260615,SunTegra,SunTegra,modules,c-si,Modules: c-Si,Binghamton,New York,USA,42.105368,-75.820801,active,nameplate-capacity,0.01,GWdc/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
t1-energy-wilmer-texas,doe_pv_mfg_map_20260615,T1 Energy,T1 Energy,modules,c-si,Modules: c-Si,Wilmer,Texas,USA,32.601531,-96.703736,active,nameplate-capacity,5,GWdc/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
tamarack-willits-california,doe_pv_mfg_map_20260615,Tamarack,Tamarack,structures,shared,S-BOS: racking,Willits,California,USA,39.397285,-123.344519,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
terrasmart-cincinnati-ohio,doe_pv_mfg_map_20260615,Terrasmart,Terrasmart,structures,shared,S-BOS: ground screws,Cincinnati,Ohio,USA,39.186159,-84.473884,active,nameplate-capacity,0.5,GWdc/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
terrasmart-walker-michigan,doe_pv_mfg_map_20260615,Terrasmart,Terrasmart,electrical,shared,E-BOS: combiner boxes,Walker,Michigan,USA,43.024115,-85.734969,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
tesla-buffalo-new-york,doe_pv_mfg_map_20260615,Tesla,Tesla,modules,c-si,Modules: c-Si,Buffalo,New York,USA,42.860537,-78.841349,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
tmeic-brookshire-texas,doe_pv_mfg_map_20260615,TMEIC,TMEIC,inverters,shared,Inverters: utility inverters,Brookshire,Texas,USA,29.766315,-95.908708,active,nameplate-capacity,9,GWac/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
tmeic-katy-texas,doe_pv_mfg_map_20260615,TMEIC,TMEIC,inverters,shared,Inverters: utility inverters,Katy,Texas,USA,29.831374,-95.81274,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWac/yr; this product is not sized against other facilities in the stage.
toyo-solar-humble-texas,doe_pv_mfg_map_20260615,Toyo Solar,Toyo Solar,modules,c-si,Modules: c-Si,Humble,Texas,USA,29.952558,-95.298233,active,nameplate-capacity,1,GWdc/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
